mod,fn,size,ninstr,has_call,has_loop,nflt,ncond,m2c_ok,m2c_struct,m2c_flow,m2c_calls,band,status,base_score,best_score,attempts,notes
uvdobj_rom,func_uvdobj_rom_0040056C,88,22,True,False,0,0,0,1,0,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_004005C4,320,80,True,True,0,3,0,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400704,108,27,True,False,0,4,0,0,0,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400770,656,164,True,True,9,22,0,1,1,1,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400A20,604,151,True,True,10,21,1,0,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400C7C,224,56,False,True,2,9,0,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400D5C,356,89,True,False,20,8,0,1,0,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400EC0,304,76,True,False,20,7,0,1,0,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00400FF0,56,14,False,False,0,1,1,1,0,0,P1,no-seed,,,0,
uvdobj_rom,func_uvdobj_rom_00401104,200,50,False,True,0,4,1,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00401240,856,214,True,True,44,22,0,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00401598,40,10,False,False,4,0,1,0,0,0,P2,banked,40,,0,
uvdobj_rom,func_uvdobj_rom_004015C0,1276,319,True,True,0,39,0,1,1,1,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00401ABC,1112,278,True,True,58,25,0,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00401F14,548,137,True,True,35,17,0,1,1,1,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00402138,744,186,True,True,68,27,1,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00402420,1104,276,True,True,72,20,0,1,1,1,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00402870,1272,318,True,True,117,35,0,1,1,1,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00402D68,748,187,True,True,12,18,0,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_00403054,648,162,True,True,8,18,0,1,1,0,,asm,,,0,
uvdobj_rom,func_uvdobj_rom_004032DC,704,176,True,True,24,16,0,1,1,0,,asm,,,0,
